番号,住所,ホール名,状態
51,東京都江戸川区篠崎町7-26-10①,123 篠崎店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
52,東京都江戸川区西葛西5-5-18KSビル,SANSA 西葛西店,休業(～2020/05/26)、再開(2020/05/27～)
53,東京都江戸川区東葛西5-1-12,ひっぽ 葛西店,休業(～2020/05/25)、再開(2020/05/26～)
54,東京都江戸川区西葛西5-5-3第7中川ビル,アイオン 西葛西北口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
55,東京都江戸川区船堀4-8-1LSビル,アトラス2 船堀店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
56,東京都江戸川区一之江3-1-16,ウェスタン 一之江店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
57,東京都江戸川区中葛西3-34-13,ウェスタン 葛西店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
58,東京都江戸川区南葛西4-1-818山秀ビル,ウェスタン 環七南葛西店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
59,東京都江戸川区西葛西5-6-1野口ビル,ウェスタン 西葛西店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
60,東京都江戸川区本一色3-40-15オックスビル,オックス 本一色店,休業(～2020/05/25)、再開(2020/05/26～)
61,東京都江戸川区瑞江2-1-9キートンビル,オリエンタル・パサージュ 瑞江2店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
62,東京都江戸川区西小岩1-27-31,カイノスネオス 小岩店,休業(～2020/05/25)、再開(2020/05/26～)
63,東京都江戸川区一之江8-18-2大塚ビル,ガイア 一之江店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
64,東京都江戸川区瑞江2-1-14長塚第2ビル,ガイア 瑞江店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
65,東京都江戸川区平井7-7-9,キコーナ 平井店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
66,東京都江戸川区篠崎町7-27-20共生総業ビル,キャプテン 篠崎店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
67,東京都江戸川区南篠崎町3-7-3ラコール瑞江,キングパレス 瑞江店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
68,東京都江戸川区西小岩1-22-18パロマビル,クロノス 小岩店,休業(～2020/05/25)、再開(2020/05/26～)
69,東京都江戸川区船堀1-7-9コアビル,コア21 船堀店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
70,東京都江戸川区一之江8-8-7,サンコー 一之江店,休業(2020/04/25～2020/05/10、2020/05/14～2020/05/25)、再開(2020/05/26～)
71,東京都江戸川区一之江1-4-3セランビル1F,サンタノ 一之江店,休業(2020/04/27～2020/05/06、2020/05/11～)、再開
72,東京都江戸川区大杉5-36-11サンパレスビル,サンパレス 環七大杉店,休業(2020/04/21～2020/05/15、2020/05/21～2020/05/24)、再開(2020/05/25～)
73,東京都江戸川区篠崎町7-31-15藤和シティホームズ篠崎,ザ・シティ／ベルシティ 篠崎店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
74,東京都江戸川区瑞江2-5-16サングリーンビル,ニュースター 瑞江店,休業(2020/04/25～2020/05/15)、再開(2020/05/16～)
75,東京都江戸川区船堀1-8-14,ニュー今津屋 船堀店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
76,東京都江戸川区中葛西5-42-6竹乃湯ビル,パラッツォ 葛西店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
77,東京都江戸川区西葛西3-16-16佐治商事ビル,ビッグベアー 西葛西店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
78,東京都江戸川区平井4-12-19,プライム 平井店,休業(2020/04/21～2020/05/15、2020/05/21～2020/05/24)、再開(2020/05/25～)
79,東京都江戸川区北葛西2-11-21,ホワイトベアー 葛西店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
80,東京都江戸川区新堀2-1-2,ポニー 新堀店,休業(～2020/05/25)、再開(2020/05/26～)
81,東京都江戸川区中葛西3-37-12,マックス 葛西店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
82,東京都江戸川区西小岩1-21-19マルハン小岩パチンコ館ビル,マルハン 小岩パチンコ館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
83,東京都江戸川区西葛西6-16-8,メッセ 西葛西店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
84,東京都江戸川区西小岩1-21-2ジャート小岩ビル,彩の風 小岩店,閉店(～2020/04/26)
