番号,住所,ホール名,状態
215,東京都新宿区西新宿3-2-9新宿ワシントンホテル,フレスコ 新宿店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
216,東京都新宿区新宿3-36-16ドン・キホーテ,ベガスベガス 新宿東南口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
217,東京都新宿区新宿3-37-14,マルハン 新宿店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
218,東京都新宿区歌舞伎町1-19-1新宿東宝ビル2F,マルハン 新宿東宝ビル店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
219,東京都新宿区高田馬場2-18-11稲門ビル,国際センター 高田馬場店,休業(2020/04/18～2020/05/26)、再開(2020/05/27～)
220,東京都新島村南檜山4-1,アリーナ 羽伏店,不明
221,東京都神津島村233-6,オアシス 神津島店,休業(2020/05/02～2020/05/30)、再開(2020/06/01～)
222,東京都杉並区荻窪5-27-9,(S)ゴープラ 荻窪店,休業(2020/05/01～2020/05/15、2020/05/18～)、再開
223,東京都杉並区上荻1-16-16ユアビル1-B1,(S)メッセ 荻窪店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
224,東京都杉並区高円寺北3-24-12,DIOS 高円寺店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
225,東京都杉並区高円寺南1-6-2,ことぶき 東高円寺店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
226,東京都杉並区和田1-1-13富士見コーポ,アーク 中野富士見店,閉店(～2020/04/29)
227,東京都杉並区西荻南3-14-7市川ビル,アカダマウエスト 西荻窪店,閉店(～2020/04/12)
228,東京都杉並区上井草1-31-8イーグル岩村ビル,イーグル 井荻店,休業(2020/04/09～2020/05/25)、再開(2020/05/26～)
229,東京都杉並区上高井戸1-1-12,エイトマン 八幡山店,休業(2020/04/13～2020/05/26)、再開(2020/05/27～)
230,東京都杉並区阿佐谷南2-16-6①,オーシャン 阿佐ヶ谷店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
231,東京都杉並区天沼3-2-7荻窪ルーフ,オーパ 荻窪店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
232,東京都杉並区上荻1-10-12荻窪東亜会館,オリエンタル・パサージュ 荻窪426店,休業(2020/04/09～2020/05/25)、再開(2020/05/26～)
233,東京都杉並区西荻南3-13-1,ゴードン 西荻窪店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
234,東京都杉並区下高井戸1-23-14,サンクラウン 桜上水店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
235,東京都杉並区方南2-21-1,ジョイ 方南町店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
236,東京都杉並区梅里2-1-17,スーパーセブン 新高円寺店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
237,東京都杉並区高円寺北2-19-2山形屋ビル,スターダスト 高円寺店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
238,東京都杉並区阿佐谷南2-18-7,パルコ 阿佐ヶ谷店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
239,東京都杉並区上高井戸1-19-4,ピーゴールド 芦花公園店,休業(2020/04/17～2020/05/27)、再開(2020/05/28～)
240,東京都杉並区和泉3-5-8,フィオーレ 永福町店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
241,東京都杉並区荻窪5-29-2,フィオーレ 荻窪店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
242,東京都杉並区永福3-34-14,フィオーレ 西永福店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
243,東京都杉並区浜田山2-20-18,フィオーレ 浜田山店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
244,東京都杉並区久我山4-1-7,マルコウ 久我山店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
245,東京都杉並区高円寺南3-58-24,ミリオン 高円寺22号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
246,東京都杉並区高円寺北2-4-1,メッセ 高円寺店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
247,東京都杉並区成田東5-42-15ジョイフルプラザ1F,ロイヤル 南阿佐ヶ谷店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
248,東京都杉並区上荻1-12-1,日の丸 荻窪店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
249,東京都杉並区下井草2-44-6,日の丸 下井草店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
250,東京都世田谷区松原1-36-7明大前ビルB1,(S)スロットスタジアム 明大前店,休業(2020/04/25～2020/05/20)、再開(2020/05/21～)
251,東京都世田谷区若林4-25-14,アクアH2O 世田谷店,休業(2020/04/11～2020/05/19)、再開(2020/05/20～)
252,東京都世田谷区北沢2-10-12,カレイド 下北沢店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
253,東京都世田谷区宮坂3-9-1,カレイド 経堂店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
254,東京都世田谷区経堂2-4-1竹ビル,ガイア 経堂店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
255,東京都世田谷区三軒茶屋1-39-7ショッピングプラザ ベルアージュB1,ガイアネクスト 三軒茶屋1店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
256,東京都世田谷区太子堂2-17-8三徳ビル,ガイアネクスト 三軒茶屋2店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
257,東京都世田谷区船橋1-1-19,キングNo.1 世田谷店,休業(2020/04/23～2020/05/20)、再開(2020/05/21～)
258,東京都世田谷区桜上水5-30-8,クラウン 桜上水店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
259,東京都世田谷区祖師谷3-1-20ゴードン祖師谷ビル,ゴードン 祖師谷店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
260,東京都世田谷区玉川3-6-1①,ゴールド 二子玉川店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
261,東京都世田谷区三軒茶屋1-35-7,ダイキ 三軒茶屋店,休業(2020/04/25～2020/05/06、2020/05/12～)、再開
262,東京都世田谷区南烏山5-11-5トモエビル1,トモエ 千歳烏山店,休業(2020/04/11～)、再開
263,東京都世田谷区南烏山6-4-10第5野萩ビル,ミスターD 千歳烏山店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
264,東京都世田谷区祖師谷1-8-13,ミツボシ 祖師谷店,休業(2020/04/25～2020/05/22)、再開(2020/05/23～)
265,東京都世田谷区経堂1-23-14,ミナミ 経堂店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
266,東京都世田谷区北沢2-4-7,ミナミ 本店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
267,東京都世田谷区松原2-45-12①(旧)ガイアビル1,メガガイア 明大前店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
268,東京都世田谷区桜丘2-27-14,国際センター 千歳船橋店,休業(2020/04/18～2020/05/26)、再開(2020/05/27～)
269,東京都世田谷区赤堤4-41-10第三通商ビル,将軍 下高井戸店,閉店(～2020/04/24)
270,東京都世田谷区南烏山5-19-9丸照ビル,新！ガーデン 千歳烏山店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
271,東京都世田谷区桜新町2-10-8さくらセンタービル,成城ニュージャパン 桜新町店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
272,東京都世田谷区成城6-5-25第1住野ビル,成城ニュージャパン 成城店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
273,東京都世田谷区駒沢2-17-2日の丸ビル,日の丸 駒沢店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
274,東京都世田谷区用賀4-3-12①,日の丸 用賀店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
275,東京都清瀬市松山1-1-4清瀬駅前ビル,UNO 清瀬店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
276,東京都清瀬市野塩5-292-4秋津コート,パラッツォ 秋津店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
277,東京都清瀬市元町1-3-46,ライオン 清瀬店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
278,東京都西多摩郡瑞穂町富士山栗原新田233-1,クリエ 瑞穂店,閉店(～2020/04/10)
279,東京都西多摩郡瑞穂町箱根ヶ崎東松原26-17桝屋ビル,サンフラワー 瑞穂店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
280,東京都西多摩郡瑞穂町箱根ヶ崎1338-1久保田ビル,トワーズ 瑞穂店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
281,東京都西多摩郡瑞穂町富士山栗原新田217-1,フェイス1100 瑞穂店,休業(2020/04/10～2020/05/26)、再開(2020/05/27～)
282,東京都西東京市田無町2-11-4東海ビル,(S)エランドール 田無店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
283,東京都西東京市芝久保町2-9-6ゴールデンハウス田無,D's Club 田無店,休業(2020/04/23～)、再開
284,東京都西東京市ひばりが丘北4-3-25,P-PORT プレゴ ひばりが丘店,休業(2020/04/15～2020/05/28)、再開(2020/05/29～)
285,東京都西東京市住吉町3-9-8ベルスクエアビル,やすだ ひばりが丘店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
286,東京都西東京市富士町4-14-14三星ビル,スリースター 東伏見店,休業(2020/04/11～2020/05/19)、再開(2020/05/20～)
287,東京都西東京市田無町2-11-4フォルテビル,フォルテ 田無店,休業(2020/04/09～2020/05/27)、再開(2020/05/28～)
288,東京都西東京市南町4-4-1大和ビル,ミカド 田無店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
289,東京都西東京市田無町2-1-1アスタビル,モナコ 田無店,休業(2020/04/08～2020/05/31)、再開(2020/06/01～)
290,東京都西東京市東町3-5-10,リーガサン 保谷店,休業(2020/04/24～)、再開
291,東京都西東京市西原町4-2-5,出玉王 田無店,休業(2020/04/21～2020/05/15、2020/05/21～2020/05/24)、再開(2020/05/25～)
292,東京都西東京市保谷町3-24-6桜井ビル,将軍 柳沢店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
293,東京都青梅市新町6-8-1青梅新町ビル,(S)マルハン 青梅新町店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
294,東京都青梅市新町3-18-5,オリエント インペリアルホール 新町店,休業(2020/04/11～2020/05/29)、再開(2020/05/30～)
295,東京都青梅市河辺町10-6-3,オリエント ビーナスホール 河辺店,休業(2020/04/11～2020/05/29)、再開(2020/05/30～)
296,東京都青梅市千ヶ瀬町3-407-1,サンフラワー 千ヶ瀬店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
297,東京都青梅市河辺町5-1-1オザムビル,トワーズ 河辺駅前店,閉店(～2020/04/10)
298,東京都青梅市今井3-3-9①,トワーズ 青梅IC店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
299,東京都青梅市千ヶ瀬町5-612,トワーズ 千ヶ瀬店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
300,東京都青梅市師岡3-20-3,トワーズ 野上店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
301,東京都青梅市藤橋3-2-10朝日ビル,マルハン 青梅店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
302,東京都千代田区内神田3-19-9,(S)みとや 神田北口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
303,東京都千代田区有楽町2-8-1,DUO 有楽町店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
304,東京都千代田区神田佐久間町1-3,UNO 秋葉原店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
305,東京都千代田区有楽町2-7-1有楽町駅前ビル,UNO 有楽町店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
306,東京都千代田区内神田2-9-8,みとや 神田西口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
307,東京都千代田区三崎町3-7-11①,みとや 水道橋店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
308,東京都千代田区外神田3-15-6M2ビル7F,ゑびす 秋葉原1号店,閉店(～2020/04/07)
309,東京都千代田区外神田4-3-3ミナミビル,アイランド 秋葉原店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
310,東京都千代田区外神田1-15-6日拓秋葉原駅前ビル,エスパス日拓 秋葉原駅前店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
311,東京都千代田区鍛冶町2-7-14共和第2ビル,ガイア 神田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
312,東京都千代田区内神田3-7-7,コーシン 神田店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
313,東京都千代田区神田平河町4-7ユニビル,サイバー 秋葉原昭和通り口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
314,東京都千代田区鍛冶町1-7-9大朋ビル,ジャンボ 神田店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
315,東京都千代田区外神田1-16-1トゥモウロービル,ビッグアップル 秋葉原店,休業(2020/04/24～2020/05/26)、再開(2020/05/27～)
316,東京都千代田区富士見2-7-2飯田橋プラーノステージビル,プレサス 飯田橋店,休業(2020/04/24～2020/05/27)、再開(2020/05/28～)
317,東京都足立区千住2-62-6,(S)オーシャン 北千住店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
318,東京都足立区西新井栄町2-7-5,(S)スラッシュ 西新井西口店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
319,東京都足立区梅島3-31-10,Jクラブ 西新井店,休業(2020/04/24～2020/05/26)、再開(2020/05/27～)
320,東京都足立区綾瀬4-6-30高架下,MGM 綾瀬西口店,休業(2020/04/23～2020/05/26)、再開(2020/05/27～)
321,東京都足立区鹿浜1-14-14,ことぶき 鹿浜店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
322,東京都足立区西新井本町1-16-17,ことぶき 大師店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
323,東京都足立区谷在家3-1-18①,ことぶき 谷在家店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
324,東京都足立区平野1-15-6足立平野ビル,ことぶき 平野店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
325,東京都足立区入谷9-14-8,アカダマ キャニオン 入谷店,閉店(～2020/04/12)
326,東京都足立区西竹の塚2-3-351F,アクセス 竹の塚店,休業(2020/04/09～2020/05/28)、再開(2020/05/29～)
327,東京都足立区西新井栄町2-2-3牧野ビル,キューデン・アネックス 西新井店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
328,東京都足立区千住3-72白亜ビル,コンサートホール 北千住店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
329,東京都足立区梅島1-14-7,サンコー 梅島店,休業(2020/04/25～2020/05/10、2020/05/14～2020/05/25)、再開(2020/05/26～)
330,東京都足立区綾瀬3-3-2第1星ビル,ダイナム 綾瀬東口店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
331,東京都足立区西新井1-5-1中田ビル,トーエー 大師前店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
332,東京都足立区綾瀬4-9-27第一興商ビル,ニュークラウン 綾瀬店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
333,東京都足立区保木間5-25-23竹ノ塚インドア スポーツプラザ,ニューグランド 保木間店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
334,東京都足立区一ツ家1-21-13,ニュースター 一ツ家店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
335,東京都足立区入谷7-7-2,ニュー今津屋 入谷店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
336,東京都足立区入谷8-14-6,パスカ ポートアリーナスポーツ館 入谷店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
337,東京都足立区谷在家1-23-15,ビッグスポーツ館 谷在家店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
338,東京都足立区竹の塚1-41-3スタジオピーアーク1F,ピーアーク スタジオ 竹の塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
339,東京都足立区谷中2-22-18,ピーアーク ピーくんガーデン 綾瀬店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
340,東京都足立区竹の塚6-8-4①,ピーアーク ピーくんプラザ 竹の塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
341,東京都足立区谷中3-1-15①,ピーアーク 北綾瀬店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
342,東京都足立区千住3-92丸井1F,ピーアーク 北千住店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
343,東京都足立区千住橋戸町11,ピーアップル 千住大橋店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
344,東京都足立区西綾瀬2-23-17,ピア 五反野店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
345,東京都足立区堀之内1-15-17,マルハン 鹿浜店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
346,東京都足立区足立4-38-7,ミカド 五反野店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
347,東京都足立区扇2-46-8,メッセ 扇店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
348,東京都足立区六月1-23-1(旧)フジボール,メッセ 竹の塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
349,東京都足立区西保木間2-9-11,ラスベガス 竹の塚店,休業(2020/04/08～2020/06/12)、再開(2020/06/13～)
350,東京都足立区伊興本町2-1-24,リブロン 竹の塚店,休業(2020/04/28～)、再開
351,東京都足立区舎人5-13-3大駒マンション,ロケットホール 舎人店,閉店(～2020/04/20)
352,東京都足立区西新井栄町2-7-2興和ビル,ヴィラージュ・キューデン 西新井店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
353,東京都足立区梅島1-13-9,宇宙センター 梅島店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
354,東京都足立区弘道1-2-20ラプレーヌGS,甲子園 五反野店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
355,東京都多摩市永山1-3-4永山コパボウル1F,P-PORT プレゴ 永山店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
356,東京都多摩市永山1-3-2①,ゴードン 永山店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
357,東京都多摩市落合1-11-2小田急マルシェ201,ゴードン 多摩センターA館,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
358,東京都多摩市一ノ宮1-25-1,ドキわくランド 聖蹟桜ヶ丘店,休業(2020/04/09～2020/05/28)、再開(2020/05/29～)
359,東京都多摩市関戸2-24-19,ワオン 聖蹟桜ヶ丘店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
360,東京都台東区根岸5-21-8ブロッケン2ビル,(S)UNO 三ノ輪店 スロット館,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
361,東京都台東区根岸1-1-21,(S)みとや 鶯谷M-2店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
362,東京都台東区上野5-25-7三宝ビル,(S)オリエンタル・パサージュ4 上野店,休業(2020/04/23～2020/05/19)、再開(2020/05/20～)
363,東京都台東区根岸5-22-10三ノ輪東和ビル,UNO 三ノ輪店 パチンコ館,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
364,東京都台東区浅草5-9-3,みとや 浅草千束店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
365,東京都台東区根岸1-1-20,みとや 鶯谷M-1店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
366,東京都台東区根岸1-1-24,みとや 鶯谷M-3店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
367,東京都台東区浅草2-6-7東京楽天地浅草ビルB1,イーグルR-1 浅草店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
368,東京都台東区上野4-7-5日拓上野アメ横ビル,エスパス日拓 上野新館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
369,東京都台東区上野4-10-4日拓ビル,エスパス日拓 上野本館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
370,東京都台東区上野6-9-7,オリエンタル・パサージュ インペリアル 上野本館,休業(2020/04/23～2020/05/19)、再開(2020/05/20～)
371,東京都台東区上野6-13-14,サイバースパーク 上野店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
372,東京都台東区根岸1-6-7,サンボール 鶯谷店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
373,東京都台東区上野2-1-388ビル,スター 広小路店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
374,東京都台東区浅草橋1-24-1スターダストビル,スターダスト 浅草橋店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
375,東京都台東区上野3-28-6第1大島ビル,ダイヤモンド 上野店,休業(2020/04/28～2020/05/06)、再開(2020/05/07～)
376,東京都台東区浅草2-10-12ロック座会館,ビッグパンドラ 浅草店 ライト館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
377,東京都台東区浅草1-43-1,ビッグパンドラ 浅草店 本館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
378,東京都台東区上野6-13-9新都乃田ビル,ピア 上野店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
379,東京都大田区大森北1-3-10,(S)オーパス・ワン 大森店,休業(2020/04/11～2020/05/14)、再開(2020/05/15～)
380,東京都大田区蒲田4-10-14あすとウィズ,(S)ベガス 京急蒲田店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
381,東京都大田区大森北1-34-18第2みづほビル,(S)マックススロット ZAP 大森店,休業(2020/04/11～2020/05/21)、再開(2020/05/22～)
382,東京都大田区西蒲田7-46-8①蒲田ライトビル,(S)楽園 蒲田店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
383,東京都大田区西糀谷4-28-9OMC青和第2ビル,22世紀 糀谷店,休業(～2020/05/25)、再開(2020/05/26～)
384,東京都大田区大森北1-34-2五光ビル,PSフィールド 大森店,休業、再開
385,東京都大田区大森西5-29-11大森町ビル,みとや 大森町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
386,東京都大田区南雪谷2-12-9第5ユタカビル,ゆたか 雪が谷大塚店,休業(2020/04/09～2020/05/31)、再開(2020/06/01～)
387,東京都大田区上池台1-15-13第7ゆたか荘,ゆたか 長原店,閉店(～2020/04/08)
388,東京都大田区池上3-3-1(旧)トーヨーボール,アロー 池上店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
389,東京都大田区大森本町2-32-9,エイト 平和島店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
390,東京都大田区東糀谷2-3-6,オアシス 大鳥居店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
391,東京都大田区西蒲田8-1-12ロイヤルハイツ都南,キコーナ 蒲田店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
392,東京都大田区羽田1-3-6,グラン 羽田店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
393,東京都大田区仲六郷2-43-7,ザ・シティ／ベルシティ 雑色店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
394,東京都大田区西蒲田7-50-10,テゾーロ 蒲田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
395,東京都大田区仲六郷2-39-1,ニラク 大田雑色店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
396,東京都大田区上池台1-7-16,ニラク 大田長原店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
397,東京都大田区東蒲田1-1-6並木ビル,ニラク 大田梅屋敷2号店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
398,東京都大田区東糀谷3-12-8ホテル羽田イン,パーラー凱旋門 大鳥居店,休業(2020/04/29～2020/05/25)、再開(2020/05/26～)
399,東京都大田区仲六郷2-16-9,ピア 雑色店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
400,東京都大田区山王2-4-1大森駅前ビル,ピア 大森店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
401,東京都大田区仲六郷2-27-5シティパレス雑色,フルハウス 雑色店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
402,東京都大田区池上6-2-3,プラザ515 池上店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
403,東京都大田区蒲田5-9-2,マルハン 蒲田駅東店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
404,東京都大田区蒲田5-11-12(旧)フェニックスMSビル,メガガイア 蒲田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
405,東京都大田区平和島1-1-1ビックファン平和島2F,レイトギャップ 平和島店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
406,東京都大田区大森南1-16-1安田商店ビル,京浜ホール 大森南店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
407,東京都大田区蒲田5-16-7,金時 蒲田東口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
408,東京都大田区蒲田4-6-4,金時 京急蒲田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
409,東京都大田区大森北1-4-4みやこ会館,金時 大森東口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
410,東京都大田区南蒲田2-19-10金竜ビル,金龍 南蒲田店,閉店(～2020/04/08)
411,東京都大田区西蒲田7-4-12,弘城 3号店,休業(2020/04/04～2020/05/25)、再開(2020/05/26～)
412,東京都大田区西蒲田7-3-7シティホテル弘城,弘城 西口本店,休業(2020/04/04～2020/05/25)、再開(2020/05/26～)
413,東京都大田区蒲田5-9-13弘城ビル,弘城 東口店,休業(2020/04/04～2020/05/25)、再開(2020/05/26～)
414,東京都大田区池上6-6-3,池上プラザ,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
415,東京都大田区下丸子3-10-2ヒノビル,日の丸 下丸子店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
416,東京都大島町差木地1026-131,じゃらん634 伊豆大島店,休業(2020/04/25～)、再開
417,東京都大島町元町北の山83-1,オーシャン 伊豆大島店,不明
418,東京都大島町元町1-2-1,ハワイ 伊豆大島店,不明
419,東京都大島町元町北の山121-5,ビッグスター 伊豆大島店,不明
420,東京都中央区月島3-5-5,アクア 月島店,休業(2020/04/25～2020/05/29)、再開(2020/05/30～)
421,東京都中央区日本橋人形町2-5-1,パチンコ正村 人形町店,休業(2020/04/08～)、再開
422,東京都中央区銀座5-12-6スルガG5ビル,ピーアーク 銀座ネオ店,閉店(～2020/04/02)
423,東京都中央区銀座5-12-1,ピーアーク 銀座店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
424,東京都中央区八重洲1-5-14八重洲ターミナルホテル,ピースタシオン 東京店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
425,東京都中野区弥生町2-20-6弥生町ビル,(S)エイコー 中野新橋店,休業(2020/04/24～)、再開
426,東京都中野区東中野4-4-5東中野アパートメンツ,(S)ゴーゴーセブン 東中野店,休業(～2020/05/25)、再開(2020/05/26～)
427,東京都中野区中野5-60-6中野共同ビル,(S)サイバースロット 中野店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
428,東京都中野区中野2-25-2トビタビル,(S)ジパング 中野店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
429,東京都中野区中野5-60-7タイガープラザB1,(S)ニラク 中野サンモール2号店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
430,東京都中野区弥生町2-19-13エクセレビル,エクセレ 中野新橋店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
431,東京都中野区中央4-2-2,オークラ 新中野店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
432,東京都中野区中野5-60-12,グランパ 中野店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
